E,N,y,x
2629054.063,1234337.608,629053.61,234337.34
2634782.542,1236749.621,634782,236749.44
2634909.63,1232172.167,634909.08,232172
2632452.176,1240216.935,632451.65,240216.7
2638268.544,1234786.302,638268,234786.14
2637742.666,1239556.617,637742.09,239556.47
2640399.171,1241626.413,640398.54,241626.32
2641947.089,1240338.465,641946.44,240338.32
2644328.36,1244123.387,644327.65,244123.23
2639187.469,1235832.243,639186.92,235832.06
2640950.98,1237482.178,640950.37,237482.02
2636308.03,1242602.11,636307.45,242601.92
2643143.191,1235256.089,643142.57,235255.96
2644396.89,1235298.23,644396.25,235298.11
2643290.841,1231737.686,643290.21,231737.57
2646845.532,1233492.826,646844.85,233492.74
2647812.152,1237375.634,647811.47,237375.53
2649322.769,1234641.404,649322.04,234641.31
2651504.273,1236666.885,651503.53,236666.8
2652202.486,1232854.957,652201.76,232854.88
2656406.099,1236416.067,656405.34,236416.01
2655710.219,1230684.126,655709.48,230684.09
2657472.33,1231267.971,657471.6,231267.94
2660232.669,1236588.511,660231.92,236588.51
2645132.525,1241212.761,645131.84,241212.64
2648867.387,1240155.589,648866.7,240155.49
2651252.426,1241982.989,651251.67,241982.9
2654937.96,1240606.98,654937.16,240606.91
2657204.972,1239662.373,657204.19,239662.33
2646426.396,1243819.036,646425.67,243818.92
2649970.326,1248422.949,649969.57,248422.81
2654202.993,1242474.892,654202.19,242474.82
2656262.313,1244199.756,656261.51,244199.71
2657406.837,1242272.101,657406.05,242272.03
2646668.641,1246483.986,646667.89,246483.86
2644775.188,1248290.924,644774.48,248290.76
2643667.23,1250409.28,643666.53,250409.1
2640205.051,1252396.094,640204.35,252395.89
2644203.192,1253412.002,644202.47,253411.82
2641055.94,1253728.587,641055.23,253728.34
2639031.442,1231396.488,639030.87,231396.36
2640584.094,1232336.289,640583.51,232336.17
2640362.218,1251080.29,640361.55,251080.07
2638900.977,1252809.706,638900.36,252809.47
2630118.219,1237151.199,630117.74,237151.02
2662059.45,1240648.49,662058.66,240648.5
2666495.612,1241592.059,666494.81,241592.1
2663693.616,1239048.48,663692.85,239048.49
2665300.775,1235604.708,665299.97,235604.78
2662508.171,1237177.004,662507.39,237177.02
2670257.32,1221286.84,670256.56,221286.98
2671838.693,1223578.678,671837.91,223578.83
2668418.829,1225143.842,668418.05,225143.97
2673133.263,1220567.235,673132.5,220567.43
2674012.016,1225255.428,674011.239,225255.558
2672345.44,1227806.41,672344.65,227806.52
